name,size,time,comparisons
quicksort,732000,0.065414,9279568
quicksort,733000,0.068413,8440003
quicksort,734000,0.070389,9410274
quicksort,735000,0.063875,8604867
quicksort,736000,0.067466,9242658
quicksort,737000,0.065298,8292825
quicksort,738000,0.064760,8548607
quicksort,739000,0.065324,8684508
quicksort,740000,0.065587,8691005
quicksort,741000,0.065604,8656139
quicksort,742000,0.070360,8524284
quicksort,743000,0.070046,8869162
quicksort,744000,0.071019,8492114
quicksort,745000,0.068038,9726583
quicksort,746000,0.067039,8812851
quicksort,747000,0.069310,8942113
quicksort,748000,0.067735,9179433
quicksort,749000,0.067842,9197103
quicksort,750000,0.066803,9357653
quicksort,751000,0.069008,8922002
quicksort,752000,0.067092,8687469
quicksort,753000,0.067374,8727479
quicksort,754000,0.070492,9683949
quicksort,755000,0.067500,8856655
quicksort,756000,0.071624,9783065
quicksort,757000,0.067371,8834441
quicksort,758000,0.067656,10100314
quicksort,759000,0.067509,8795899
quicksort,760000,0.070315,9292094
quicksort,761000,0.093763,9161202
quicksort,762000,0.070776,9014963
quicksort,763000,0.070252,10275613
quicksort,764000,0.066644,9014123
quicksort,765000,0.069461,9606243
quicksort,766000,0.067303,9557507
quicksort,767000,0.070137,9840860
quicksort,768000,0.069079,8473744
quicksort,769000,0.067867,8788433
quicksort,770000,0.071824,9268205
quicksort,771000,0.070394,9285027
quicksort,772000,0.073256,9258536
quicksort,773000,0.072025,9086811
quicksort,774000,0.066941,9430241
quicksort,775000,0.067158,8944368
quicksort,776000,0.073433,9537203
quicksort,777000,0.073887,9320526
quicksort,778000,0.072904,9060897
quicksort,779000,0.072467,9067435
quicksort,780000,0.072062,9234747
quicksort,781000,0.069896,8844975
quicksort,782000,0.069538,8740566
quicksort,783000,0.070483,9462280
quicksort,784000,0.070944,9151802
quicksort,785000,0.069461,9246980
quicksort,786000,0.068217,9572408
quicksort,787000,0.073281,9063805
quicksort,788000,0.074952,9650214
quicksort,789000,0.071686,9520319
quicksort,790000,0.072766,8908526
quicksort,791000,0.069923,9363170
quicksort,792000,0.069340,9457105
quicksort,793000,0.070599,9158430
quicksort,794000,0.070445,10205490
quicksort,795000,0.074650,9274106
quicksort,796000,0.076581,9946827
quicksort,797000,0.074296,9998281
quicksort,798000,0.073881,9324155
quicksort,799000,0.069254,10068838
quicksort,800000,0.073765,9601587
quicksort,801000,0.076482,9298551
quicksort,802000,0.071878,9550292
quicksort,803000,0.071003,9375811
quicksort,804000,0.075882,9600154
quicksort,805000,0.072488,9987557
quicksort,806000,0.072021,9746224
quicksort,807000,0.075781,9940775
quicksort,808000,0.073263,11447444
quicksort,809000,0.072153,9500317
quicksort,810000,0.072203,9347721
quicksort,811000,0.070490,10010485
quicksort,812000,0.073328,9623642
quicksort,813000,0.072070,9006561
quicksort,814000,0.074464,9518116
quicksort,815000,0.104205,10237854
quicksort,816000,0.072848,9684958
quicksort,817000,0.073610,10708210
quicksort,818000,0.074629,9902070
quicksort,819000,0.074719,10387028
quicksort,820000,0.072718,9496644
quicksort,821000,0.076410,10596954
quicksort,822000,0.077025,9489870
quicksort,823000,0.072231,9873070
quicksort,824000,0.072731,10202146
quicksort,825000,0.073236,10805093
